Data,Giorno,Mese,Temperatura media,Temperatura minima,Temperatura massima,Punto di rugiada,Umidità media,Umidità minima,Umidità massima,Visibilità media,Velocità del vento media,Velocità massima del vento,Raffica,Pressione media sul livello del mare,Pressione media,Pioggia,Fenomeni,Condizione Meteo
2024-04-01,1,Aprile,14 °C,14 °C,16 °C,13 °C,93 %,72 %,100 %,15 km,15 km/h,42 km/h,-,1007 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-02,2,Aprile,15 °C,11 °C,18 °C,11 °C,77 %,59 %,100 %,18 km,21 km/h,31 km/h,-,1015 mb,-,-,Nessuno,poco nuvoloso
2024-04-03,3,Aprile,14 °C,10 °C,19 °C,10 °C,83 %,49 %,100 %,19 km,8 km/h,21 km/h,-,1018 mb,-,-,Nessuno,poco nuvoloso
2024-04-04,4,Aprile,14 °C,11 °C,19 °C,12 °C,87 %,60 %,100 %,19 km,8 km/h,18 km/h,-,1021 mb,-,-,Nessuno,poco nuvoloso
2024-04-05,5,Aprile,14 °C,9 °C,19 °C,13 °C,91 %,64 %,100 %,19 km,8 km/h,18 km/h,-,1024 mb,-,-,Nebbia,poco nuvoloso
2024-04-06,6,Aprile,15 °C,9 °C,21 °C,11 °C,81 %,46 %,100 %,15 km,8 km/h,15 km/h,-,1024 mb,-,-,Nebbia,nebbia al mattino
2024-04-07,7,Aprile,15 °C,9 °C,22 °C,10 °C,76 %,35 %,100 %,20 km,7 km/h,13 km/h,-,1022 mb,-,-,Nessuno,sereno
2024-04-08,8,Aprile,16 °C,10 °C,23 °C,11 °C,75 %,46 %,100 %,20 km,7 km/h,15 km/h,-,1017 mb,-,-,Nessuno,sereno
2024-04-09,9,Aprile,15 °C,10 °C,21 °C,12 °C,84 %,40 %,100 %,19 km,10 km/h,31 km/h,-,1015 mb,-,n/d,Pioggia,poco nuvoloso
2024-04-10,10,Aprile,14 °C,11 °C,18 °C,12 °C,87 %,56 %,100 %,18 km,10 km/h,35 km/h,-,1016 mb,-,n/d,Pioggia - Temporale,pioggia e schiarite
2024-04-11,11,Aprile,15 °C,11 °C,21 °C,12 °C,84 %,56 %,100 %,19 km,7 km/h,21 km/h,-,1025 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-12,12,Aprile,,10 °C,23 °C,13 °C,79 %,47 %,100 %,20 km,8 km/h,17 km/h,-,1027 mb,-,-,Nebbia,sereno
2024-04-13,13,Aprile,18 °C,11 °C,25 °C,13 °C,75 %,44 %,100 %,19 km,8 km/h,21 km/h,-,1026 mb,-,-,Nessuno,sereno
2024-04-14,14,Aprile,17 °C,11 °C,24 °C,14 °C,83 %,54 %,100 %,19 km,7 km/h,17 km/h,-,1024 mb,-,-,Nebbia,sereno
2024-04-15,15,Aprile,15 °C,9 °C,21 °C,12 °C,83 %,49 %,100 %,14 km,8 km/h,17 km/h,-,1017 mb,-,-,Nebbia,nebbia al mattino
2024-04-16,16,Aprile,15 °C,11 °C,17 °C,12 °C,81 %,63 %,100 %,18 km,19 km/h,37 km/h,-,1004 mb,-,n/d,Pioggia,poco nuvoloso
2024-04-17,17,Aprile,13 °C,9 °C,18 °C,7 °C,68 %,26 %,100 %,21 km,12 km/h,22 km/h,-,1003 mb,-,-,Nessuno,poco nuvoloso
2024-04-18,18,Aprile,11 °C,9 °C,15 °C,7 °C,78 %,44 %,100 %,21 km,13 km/h,31 km/h,-,1007 mb,-,n/d,Pioggia - Temporale,poco nuvoloso
2024-04-19,19,Aprile,,5 °C,16 °C,4 °C,57 %,34 %,93 %,21 km,13 km/h,28 km/h,-,1014 mb,-,-,Nessuno,poco nuvoloso
2024-04-20,20,Aprile,12 °C,8 °C,17 °C,8 °C,82 %,55 %,100 %,20 km,12 km/h,24 km/h,-,1009 mb,-,n/d,Pioggia - Temporale,temporale e schiarite
2024-04-21,21,Aprile,,3 °C,17 °C,5 °C,71 %,31 %,100 %,20 km,10 km/h,22 km/h,-,1012 mb,-,-,Nessuno,poco nuvoloso
2024-04-22,22,Aprile,,7 °C,15 °C,8 °C,81 %,62 %,100 %,19 km,15 km/h,28 km/h,-,1008 mb,-,n/d,Pioggia - Temporale,temporale e schiarite
2024-04-23,23,Aprile,9 °C,7 °C,12 °C,7 °C,89 %,71 %,100 %,20 km,10 km/h,21 km/h,-,1006 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-24,24,Aprile,,8 °C,14 °C,7 °C,81 %,58 %,100 %,18 km,10 km/h,21 km/h,-,1006 mb,-,n/d,Pioggia - Temporale,poco nuvoloso
2024-04-25,25,Aprile,11 °C,7 °C,15 °C,8 °C,86 %,55 %,100 %,18 km,7 km/h,17 km/h,-,1008 mb,-,n/d,Pioggia - Temporale,nubi sparse
2024-04-26,26,Aprile,12 °C,7 °C,17 °C,9 °C,84 %,52 %,100 %,19 km,8 km/h,15 km/h,-,1011 mb,-,-,Nebbia,nubi sparse
2024-04-27,27,Aprile,13 °C,11 °C,16 °C,12 °C,90 %,77 %,100 %,20 km,15 km/h,26 km/h,-,1015 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-28,28,Aprile,17 °C,11 °C,23 °C,10 °C,67 %,38 %,100 %,20 km,13 km/h,24 km/h,-,1017 mb,-,-,Nessuno,poco nuvoloso
2024-04-29,29,Aprile,,11 °C,24 °C,12 °C,74 %,36 %,100 %,19 km,12 km/h,26 km/h,-,1018 mb,-,-,Nessuno,sereno
2024-04-30,30,Aprile,18 °C,11 °C,26 °C,12 °C,73 %,42 %,100 %,20 km,11 km/h,18 km/h,-,1015 mb,-,n/d,Pioggia,poco nuvoloso
